word,eraab,meaning
رفتن,رَفْتَن,"(رَ تَ) [ په. ] (مص ل.)
۱- روان شدن، حرک ت کردن.
۲- کوچ کردن، رحلت کردن.
۳-  گذش تن، سپری شدن.
۴-  مردن.
۵- تأثیر کردن.
۶- شدن، گذشتن.
۷- صورت پذیرفتن، انجام گرفتن.
۹- (عا.) شبیه بودن. 
۱۰ -  بی حال شدن. 
۱۱ - انجام دادن. 
۱۲ - قطع شدن، بریده یا کنده شدن."
رفتن,رُفْتَن,(رُ تَ) (مص م.) نک  روبیدن.
رفت,رُفت,
رفت,رَفت,
رفته,رَفته,"(رَ تِ) (ص مف.)
۱- روانه شده.
۲- کوچ کرده.۳ - گذشته، سپری شده.۴ - درگذشته، مرده."
رفته,رُفته,(رُ تِ) (ص مف.) روبیده.
رم,رَم,(رَ) (اِمص.) ترس، فرار.
رم,رُم,(رَ یا رُ) (اِ.) گرداگرد دهان.
روش,رَوِش,"(رَ وِ)۱ - (اِمص.) عمل رفتن.
۲- خرامش.
۳- (اِ.) معبر.
۴- طرز، رسم."
روش,روش,"(رُ)
۱- روشنایی.
۲- (ص.) روشن."
زبر,زِبَر,"(زَ یا زِ بَ)
۱- (حراض.) بالا، فوق.
۲- (اِ.) حرکت فتحه (-)."
زبر,زِبْر,(زِ) (ص.) خشن، درشت.
زخم,زَخْم,"(زَ) [ په. ] (اِ.)
۱- خراش یا بریدگی هر بخشی از بدن.
۲- مجروح.
۳- ضربه.  ؛ به  ~ کاری زدن  کنایه از: برای آن کار مورد بهره برداری قرار دادن."
زخم,زُخْم,(زُ) [ ع. زهم ] (اِ.) (عا.) طعم و بویی که از سفیده تخم مرغ خام یا از گوشت خام هنگام پختن در آب برآید.
زهره,زَهره,"(زَ رِ یا رَ) (اِ.)
۱- کیسه صفراء.
۲- مایع زرد رنگ و تلخ موجود در کیسه صفرا.  ؛ ~ترک شدن  (عا.) به شدت ترسیدن."
زهره,زُهره,(زُ رِ) [ ع. زهره ] (اِ.) ناهید؛ دومین سیاره منظومه شمسی به نسبت فاصله از خورشید.
زوار,زُوّار,(زِ) نک  زهوار.
زوار,زَوار,(زَ) (ص. اِ.) خدمتکار، پرستار.
سر,سَر,"(سَ رْ) [ په. ] (اِ.)
۱- از اعضای بدن شامل گردن به بالا.
۲- رییس، مهتر.
۳- فکر، اندیشه.
۴- زور، قوت.
۵- پسوندی است که در موارد ذیل استعمال شود. الف: پسوند زمان: پیرانه سر. ب:پسوند مکان: رامسر.  ؛~ و دستار نمودن  کنایه از: خودنمایی کردن."
سر,سُر,(سُ) (اِ.) کفشی که از ریسمان بافند؛ موزه.
سرور,سَروَر,(سَ وَ) (ص مر.) پیشوا، رییس.
سرور,سُرور,"(سُ) [ ع. ]
۱- (مص ل.) شاد شدن.
۲-  (اِمص.) شادمانی."
سیر,سِیر,"(سَ یا س) [ ع. ]
۱- (مص ل.) راه رفتن، گردش کردن.
۲- (اِمص.) رفتار، گردش، حرکت."
سیر,سیر,(اِ.) واحدی برای وزن برابر با ۷۵ گرم.
شل,شَل,(شَ) (اِ.) ران، ران انسان یا حیوان.
شل,شُل,"(شُ) (ص.)۱ - نرم.
۲- وارفته.
۳- سست.
۴- آبکی.  ؛ ~ کن سفت کن درآوردن  کنایه از: دستورهای متضاد دادن یا اعمال متناقض کردن."
شکوه,شِکْوه,"(شَ یا ش  وِ) [ ع  - شکوه ] (اِمص.)
۱- شکایت.
۲- ناله."
شکوه,شُکوه,"(شُ هْ)(اِ.)۱ - شوکت.
۲- مهابت، هیبت."
صور,صور,[ ع. ] (اِ.) بوق، شاخی که در آن بدمند و از آن صدایی خارج شود.
صور,صُوَر,"(صُ وَ) [ ع. ] (اِ.) جِ صورت ؛
۱- نقش‌ها.
۲- قسم‌ها."
عالم,عالَم,"(لَ) [ ع. ] (اِ.)
۱- دنیا، هستی.
۲-  موجودات.
۳- (عا.) نمادی برای بزرگی، عظمت.
۴- حیطه، محدوده ؛ عالم هنر، عالم مستی.
۵- حالت، وضعیت.
۶- هر کدام از دو جهان فانی و باقی، هر کدام از دنیا و آخرت. ؛ ~ و آدم  کنایه از: همه مردم."
عالم,عالِم,(لِ) [ ع. ] (اِفا.) دانا، دانشمند.
غر,غُر,(غُ) (اِصت.) آواز غوک، صدای وزغ.
غر,غِر,(غِ) (ص.) (عا.) = قر: جنباندن جز یا تمام بدن از روی ناز  ؛ ~ و غربیله  ناز و ادا و اطوار.  ؛ ~ و غمزه  جنبانیدن جز یا تمام بدن از روی ناز و توأم با اشاره چشم و ابرو.  ؛ ~و فر الف - آرایش و زینت. ب - غر و غمزه.
غنا,غَنا,(غَ) [ ع. غناء ] (اِمص.) توانگری.
غنا,غِنا,"(غِ) [ ع. غناء ]
۱- (اِمص.) آوازخوانی.
۲- (اِ.) آواز خوش و طرب انگیز، سرود، نغمه."
فر,فَر,(فَ) (اِ.) پر.
فر,فِر,"(فِ) [ فر. ] (اِ.)
۱- نوعی کوره یا اجاق در بسته برای پخت و پز.
۲- نوعی ابزار فلزی گرم شونده برای چین و شکن دادن به موی سر.
۳- ابزار مشابهی که در گل سازی برای شکل دادن به گل‌ها به کار می‌رود، اتوی گل سازی."
فوت,فوت,(اِ.) بادی که از دهان بیرون کنند.
فوت,foat,"(فُ) [ ع. ]
۱- (مص ل.) مردن، درگذشتن.
۲- (اِمص.) مرگ، نیستی."
فک,فَک,(فَ) [ ع. ] (اِ.) آرواره، چانه.
فک,فُک,(فُ) (اِ.) پستانداری گوشتخوار از راسته پره پاییان که کاملاً به زندگی دریایی سازش یافته و در مصب رودخانه‌های بزرگ و مجاور سواحل زندگی می‌کند و فقط برای استراحت و تولید مثل به ساحل می‌آید. دست‌هایش کوتاه و به وسیله پرده‌ای که انگشتان را به یکدیگر مربوط می‌کند تشکیل باله شنا می‌دهد؛ سگ دریایی، گربه دریایی، شیر دریایی نیز گویند.
قسم,قَسَم,(قَ سَ) [ ع. ] (اِ.) سوگند. ج. اقسام.
قسم,قِسْم,"(قِ) [ ع. ] (اِ.)
۱- بهره و نصیب.
۲-  جزیی از کل. ج. اقسام."
قصر,قَصْر,(قَ) [ ع. ] (اِ.) کوتاهی، سستی.
